sent,true,predictions
UNK based on synchronous grammars and tree transducers UNK to improve the quality of statistical machine translation output but are often very computationally UNK,O O O B I O B B O O O O O O B I I I O O O O B O,O O O B I O B I I O O O O O B I I O O O O O B I
The complexity is exponential in the size of individual grammar rules due to arbitrary re UNK between the two languages,O B O B O O O O O B I O O B O O O O O O,O B O B O O O O O B I O O O O O O O O O
We develop a theory of UNK for synchronous context free grammars and present a linear time algorithm for UNK synchronous rules when possible,O O O O O B O B I I I O O O B I I O B B I O O,O O O O O O O B I I I O O O B I I O B I I O O
In our large scale experiments we found that almost all rules are UNK and the resulting UNK rule set significantly improves the UNK and accuracy of a state of the art syntax based machine translation system,O O O O O O O O O O O O B O O O B I O O O O B O B O O O O O O B O B I I,O O O O O O O O O O O O O O O O B I O O O O O O O O O B O O O B I I I I
We also discuss the more general and computationally more difficult problem of finding good parsing strategies for non UNK rules and present an approximate polynomial time algorithm for this problem,O O O O O O O B O O O O O O B I O O B I O O O O B I I O O O,O O O O O O O B O O O O O O B I O B I I O O O B I I I O O O
Many NLP applications UNK that texts are UNK based on their semantic distance how similar or different the texts are,O B I O O O O O O O O B I O O O O O O O,O B O O O O O O O O O B I O O O O O O O
For example comparing the text of a new document to that of documents of known topics can help identify the topic of the new text,O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B O O O O O O O O O O O O
UNK a distributional distance is used to capture the implicit semantic distance between two UNK of text,O O B I O O O O O B I I O O O O O,O O B I O O O O O O B I O O O O B
However such approaches do not take into account the semantic relations between words,O O O O O O O O O B I O O,O O O O O O O O O B I O O
In this article we introduce an alternative method of measuring the semantic distance between texts that UNK distributional information and UNK knowledge within a network UNK formalism,O O O O O O O O O O O B I O O O O B I O B I O O B I I,O O O O O O O O O O O B I O O O B I I O B I O O B I I
We first represent each text as a collection of frequency weighted concepts within an ontology,O O O O O O O O O B I I O O B,O O O O O O O O O B I I O O B
We then make use of a network UNK method which provides an efficient way of explicitly measuring the frequency weighted UNK distance between the concepts across two texts,O O O O O O B I I O O O O O O O O O B I I I O O O O O O,O O O O O O B I O O O O O O O O O O B I I I O O O O O O
We evaluate our method in a variety of NLP tasks and find that it performs well on two of three tasks,O O O O O O O O B I O O O O O O O O O O O,O O O O O O O O B I O O O O O O O O O O O
We develop a new measure of semantic coherence that enables us to account for the performance difference across the three data sets shedding light on the properties of a data set that lends itself well to our method,O O O O O O B I O O O O O O O O O O O O B I O O O O O O O B I O O O O O O O,O O O O B O B I O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O
Recent work in natural language generation has UNK to take linguistic variation into account developing algorithms that are capable of UNK the system 's linguistic style based either on the user 's linguistic style or other factors such as UNK or UNK,O O O B I I O O O O B I O O O B O O O O O O O O B I O O O O O O B I O O O O O O O O,O O O B I I O O O O B I O O O B O O O O O O O O B O O O O O O O B O O O O O O B I I
While UNK control has traditionally UNK on UNK rules statistical methods are likely to be needed for generation systems to scale to the production of the large range of variation observed in human dialogues,O B I O O O O O O B I O O O O O O B I O O O O O O O O O O O O O O O,O O O O O O O B I I O O O O O O O B I O O O O O O O O O O O O O O O
UNK work on statistical natural language generation UNK has shown that the UNK and UNK of generated utterances can be optimized from data however these data driven methods have not been shown to produce UNK variation that is UNK by humans in the way that the system intended,O O O B I I I B O O O O B O B O O B O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O,O O O B I I I O O O O O O O O O B I O O O O O O O B I I O O O O O O B I O O O O O O O O O O O O
This paper describes UNK a highly UNK language generator whose parameters are based on UNK findings about the linguistic UNK of UNK,O O O B O O B B I O B O O O O O O O B I O O,O O O O O O B I I I I O O O O O O O B I O B
We present a novel UNK method which uses parameter estimation models trained on UNK annotated data to predict the generation decisions required to convey any combination of UNK values along the five main UNK of UNK,O O O O B O O O B I I O O O O O O O O B I O O O O O O O O O O O O O O O,O O O O O O O O B I I I O B I I O O O B O O O O O O O O O O O O O O O B
A human evaluation shows that parameter estimation models produce UNK UNK variation along multiple UNK on a continuous scale and without the computational cost UNK by UNK techniques,O O O O O B I I O O B I O O O O O O O O O O B I O O B O,O O O O O B I I O B I I O O O O O B I O O O B O O O B I
This article deals with UNK UNK in Spanish UNK we focus on the UNK distinction between event and result UNK,O O O O B I O O O O O O O B I O B O B I,O O O O O O O O O O O O O O O O O O O B
The goals of this work is UNK UNK to UNK the most relevant features for this UNK distinction and second to build an automatic UNK system of UNK UNK according to their UNK,O O O O O O O O O O O O O O O O B I O O O O O B I I O B I O O O B,O O O O O O O O O O O O O B O O O O O O O O O B I I O O O O O O B
We have based our study on theoretical UNK dealing with this semantic distinction and we have analyzed them empirically by means of Machine UNK techniques which are the basis of the UNK UNK,O O O O O O B I O O O B O O O O O O O O O O B I I O O O O O O B I,O O O O O O O O O O O B O O O O O O O O O O B I O O O O O O O B I
This is the UNK tool that aims to automatically classify UNK UNK in event result or UNK UNK types in Spanish,O O O O O O O O O O B I O O O O B I O O O,O O O O O O O O O O O O O O O O O O O O B
The UNK UNK has UNK us to UNK evaluate the UNK of our UNK regarding UNK UNK,O B I O O O O O O O O O O O O B I,O B I O B I O O O O O O O B I I I
We set up a series of experiments in order to test the UNK UNK with different models and in different realistic scenarios depending on the knowledge resources and natural language UNK available,O O O O O O O O O O O O B I O O O O O O O O O O O B I O B I I O,O O O O O O O O O O O O B I O O B O O O O O O O O B I O B I I O
The UNK UNK achieved good results UNK accuracy,O B I O O O O O,O B I O O O B I
Translation models used for statistical machine translation are compiled from parallel corpora that are manually translated,B I O O B I I O O O B I O O B I,B I O O B I I O O O B I O O O O
The common assumption is that parallel texts are UNK The UNK of translation is deemed UNK and is consequently ignored,O O O O O B I O O O O O O O O O O O O O,O O O O O O O O O O O O B O O O O O O O
UNK research in Translation UNK indicates that the UNK of translation UNK however as translated language UNK has many unique properties,O O O O O O O O O O O O O O O O B O O O O,O O O O O O O O O O B I O O O B I O O O O
It has UNK been shown that phrase UNK constructed from parallel corpora translated in the same UNK as the translation task outperform those constructed from corpora translated in the UNK UNK,O O O O O O B I O O B I O O O O O O O B I O O O O B O O O O O,O O O O O O B I I O B I O O O O O O O B I O O B O B I O O B I
We UNK that this is indeed the case but UNK the importance of also using texts translated in the “ wrong ” UNK,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O B
We take advantage of information UNK to the UNK of translation in constructing phrase UNK by adapting the translation model to the special properties of UNK,O O O O O O O O O O O O O B I O O O B I O O O O O B,O O O O O O O O O O B O O B I O O O B I O O O O O B
We explore two adaptation techniques First we create a UNK model by UNK phrase UNK trained on texts translated in the “ right ” and the “ wrong ” directions,O O O O O O O O O O B O O B I O O O O O O O O O O O O O O O,O O O O O O O O O B I O B I I I O O O O O O O O O O O O O O
The UNK for the UNK are determined by minimizing perplexity,O B O O O O O O O B,O O O O O O O O O B
Second we define entropy based measures that estimate the correspondence of target language phrases to UNK thereby UNK the need to annotate the parallel corpus with information UNK to the UNK of translation,O O O B I I O O O O O O O O O B O O O O O B O B I O O O O O O O O,O O O B O O O O O B O B I I O O O O O O O B O B I O O O O O B O B
We show that incorporating these measures as features in the phrase UNK of statistical machine translation systems results in consistent statistically significant improvement in the quality of the translation,O O O O O O O O O O B I O B I I O O O O B I O O O O O O O,O O O O O O O B O O B I O B I I O O O O O O O O O O O O B
As more and more Arabic textual information becomes available through the Web in UNK and UNK via UNK and UNK UNK there is an UNK need for UNK and tools to process the relevant information,O O O O B I I O O O O B O O O O O B O B I O O O O O O O O O O O O O B,O O O O B I I O O O O B O O O O O O O O O O O O O O O O O O O O O O O
Named UNK UNK UNK is an Information UNK task that has UNK an integral part of many other Natural Language Processing NLP tasks such as Machine Translation and Information UNK,B I I B O O B I O O O O O O O O O O B I I B O O O B I O B I,B I I I O O B I O O O O O O O O O O B I I I I O O B I O B I
Arabic UNK has UNK to UNK attention in recent years,B B O O O O O O O O,O O O O O O O O O O
The characteristics and UNK of Arabic a UNK of the UNK languages family make dealing with UNK a challenge,O B O O O B O O O O B I I O O O B O O,O O O O O B O O O O B I I O O O O O O
The performance of an Arabic UNK component affects the overall performance of the NLP system in a positive manner,O O O O B B O O O O O O O B O O O O O,O O O O B I I O O O O O O B I O O O O
This article attempts to describe and detail the recent UNK in interest and UNK made in Arabic UNK research,O O O O O O O O O O O O O O O O B B O,O O O O O O O O O O O O O O O O B I O
The importance of the UNK task is demonstrated the main characteristics of the Arabic language are highlighted and the aspects of UNK in annotating named entities are UNK,O O O O B I O O O O B O O B I O O O O O O B O B I I O O,O O O O O O O O O O O O O B I O O O O O O O O B I I O B
Moreover the different Arabic linguistic resources are presented and the approaches used in Arabic UNK field are UNK,O O O B I I O O O O O O O B B O O O,O O O B I I O O O O O O O B I O O B
The features of common tools used in Arabic UNK are described and standard evaluation metrics are UNK,O B O O O O O B B O O O O B I O O,O B O O O O O B I O O O B I I O B
In addition a review of the state of the art of Arabic UNK research is discussed,O O O O O O O O O O O B B O O O,O O O O O O B O O O O B I O O O
Finally we present our conclusions,O O O O O,O O O O O
UNK the presentation UNK examples are used for UNK,O O O O O O O O O,O O B I O O O O B
We present a statistical parsing framework for sentence level sentiment classification in this article,O O O B I I O B I B I O O O,O O O B I I O B I I I O O O
UNK previous UNK that use syntactic parsing results for sentiment analysis we develop a statistical parser to directly analyze the sentiment structure of a sentence,O O O O O B I O O B I O O O B I O O O O B I O O B,O O O O O B I O O B I O O O B I O O O O B I O O B
We show that complicated phenomena in sentiment analysis e.g. negation UNK and contrast can be handled the same way as simple and straightforward sentiment expressions in a unified and probabilistic way,O O O O O O B I O B B O O O O O O O O O O O O B I O O O O O O,O O O O O O B I O B I O O O O O O O O O O O O B I O O O O B O
We UNK the sentiment grammar UNK Context UNK UNK UNK and provide a formal description of the sentiment parsing framework,O O O B I O B I I B O O O O O O O B I I,O O O B I I I I I I O O O B I O O B I I
We develop the parsing model to obtain possible sentiment parse trees for a sentence from which the polarity model is proposed to derive the sentiment strength and polarity and the ranking model is dedicated to selecting the best sentiment tree,O O O B I O O O B I I O O O O O O B I O O O O O B I O O O O O O O O O O O O B I,O O O B I O O O B I I O O B O O O B I O O O O O B O O B O O O O O O O O O O B I
We train the parser directly from examples of sentences annotated only with sentiment polarity labels but without any syntactic annotations or polarity annotations of UNK within sentences,O B O B O O O O O B O O B I I O O O B I O B I O O O B,O B O B O O O O B I O O B I I O O O B I O B I O B I I
Therefore we can obtain training data easily,O O O O B I O,O O O O B I O
In particular we train a sentiment parser UNK from a large amount of review sentences with users ratings as UNK sentiment polarity labels,O O O B O B I B O O O O O O B O O O O O B I I,O O O B O B I I O O O O O O B O O O O B I I I
Extensive experiments on existing benchmark data sets show significant improvements over baseline sentiment classification approaches,O O O O O O O O O O O O B I I,O O O O B I O O O O O B I I I
The most common approach in text mining classification tasks is to rely on features like words part of speech tags UNK or some other high level linguistic features,O O O O O B I I I O O O O O O O B I I I B O O O O O B I,O O O O O O O B I O O O O B O O O O B I O O O O B I I I
Recently an approach that uses only character UNK UNK as features has been proposed for the task of native language identification NLI,O O O O O O O B I O O O O O O O O O B I I B,O O O O O O B I I O O O O O O O O O B I I I
The approach obtained state of the art results by combining several string kernels using multiple UNK learning,O O O B I I I O O O O B I O B I I,O B O B O O O O O O O B I O O B I
Despite the fact that the approach based on string kernels performs so well several questions about this method remain UNK,O O O O O O O O B I O O O O O O O O O O,O O O O O O O O B I O O O O O O O O O B
First it is not clear UNK such a simple approach can UNK with far more complex approaches that take words lemmas syntactic information or even semantics into account,O O O O O O O O O O O O O O O O O O O O B B I O O B O O,O O O O O O O O O O O O O O O O O O O O B I I O O O O O
Second although the approach is designed to be language independent all experiments to date have been on English,O O O O O O O O O O O O O O O O O O,O O O O O O O O B I O O O B O O O O
This work is an extensive study that aims to systematically present the string UNK approach and to UNK the open questions mentioned above,O O O O O O O O O O O O B I I O O O O O O O O,O O O O O O O O O O O O B I I O O O O O O O O
A broad set of native language identification experiments were conducted to compare the string kernels approach with other state of the art methods,O O O O B I I O O O O O O B I I O O B I I I I,O O O O B I I O O O O O O B I I O O B O O O O
The empirical results obtained in all of the experiments conducted in this work indicate that the proposed approach achieves state of the art performance in NLI UNK an accuracy that is UNK above the top UNK system of the UNK NLI UNK UNK,O O O O O O O O O O O O O O O O O O O B I I I I O B O O O O O O O O O O O O O O B I I,O O O O O O O O O O O O O O O O O O O B O O O O O B I O O O O O O O O B I O O B I I I
Furthermore the results obtained on both the Arabic and the Norwegian corpora demonstrate that the proposed approach is language independent,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O B O O O O O O B I
In the Arabic native language identification task string kernels show an UNK of more than UNK over the best accuracy reported so far,O O O B I I O B I O O O O O O O O O O O O O O,O O B I I I I I I O O O O O O O O O O O O O O
The results of string kernels on Norwegian native language identification are also significantly better than the state of the art approach,O O O B I O O B I I O O O O O O B I I I O,O O O B I O O B I I O O O O O O B O O O O
In addition in a cross corpus experiment the proposed approach shows that it can also be topic independent improving the state of the art system by UNK,O O O O B I I O O O O O O O O O O O O O B I I I I O O,O O O O B I I O O O O O O O O O O O O O B O O O O O B
To UNK additional insights about the string kernels approach the features selected by the classifier as being more UNK are analyzed in this work,O O O O O O B I I O O O O O B O O O O O O O O O,O O O O O O B I O O B O O O B O O O O O O O O O
The analysis also offers information about UNK language transfer effects UNK the features used by the proposed model are UNK UNK of various UNK,O O O O O O B I I I O O O O O O O O O B I O O O,O O O O O O B I I O O O O O O O O O O B I O O B
The features captured by the model typically include UNK function words and word UNK and UNK which have the potential to generalize over UNK word based features,O O O O O O O O B B I O B I I I O O O O O O O B I I I,O O O O O O O O B I I O O O O O O O O O O O O B I O O
By analyzing the UNK features this article offers insights into two kinds of language transfer effects namely word choice lexical transfer and morphological differences,O O O B I O O O O O O O O B I I O B I B I O B I,O O O B I O O O O O O O O B I O O B O B I O B I
The goal of the current study is to give a full view of the string kernels approach and UNK some light on UNK this approach UNK so well,O O O O O O O O O O O O O O B I O O O O O O O O O O O O,O O O O O O O O O O O B O O B I O O O O O O O O O O O O
Although there has been much work in recent years on data driven natural language generation little attention has been UNK to the fine grained interactions that UNK during UNK between UNK surface realization and sentence segmentation,O O O O O O O O O O B I B I I O O O O O O O B I I O O O B O B B I O B I,O O O O O O O O O O B O B I I O O O O O O O O O O O O O O O B I I O B I
In this article we propose a hybrid symbolic statistical approach to jointly model the constraints UNK these interactions,O O O O O O B I I I O O B I I O O O,O O O O O O O O B O O O O O O O O O
Our approach UNK a small UNK grammar a statistical UNK and a surface realization algorithm,O O O O O O B O B I O O B I I,O O O O O B I O B I O O B I I
It is applied to the UNK of knowledge base UNK and tested on UNK knowledge UNK to demonstrate domain independence,O O O O O B O B I I O B O O B I O O B I,O O O O O O O B I I O O O B I I O O B I
We evaluate our approach in several ways,O B I I O O O,O O O O O O O
A quantitative analysis shows that the hybrid approach outperforms a UNK symbolic approach in terms of both UNK and coverage,O B I O O O B I B O O B I O O O O O O O,O O O O O O O O O O O O O O O O O O O O
Results from a human study indicate that users find the output of this hybrid UNK symbolic system more UNK than both a UNK based and a UNK symbolic grammar based approach,O O O O O O O O O O O O O B I I O O O O O O B I O O O O B I I,O O O O O O O O O O O O O B I O B O O O O O O O O O B O B I I
Finally we illustrate by means of examples that our approach can account for various factors UNK UNK sentence segmentation and surface realization,O O O O O O O O O B O O O O B I B B I O B I,O O O O O O O O O O O O O O O B I I I O B I
UNK UNK across languages provide a strong UNK for unsupervised probabilistic UNK UNK for closely related language pairs,B I O O O O O O O B I I B O O B I I,B I O O O O O O O B I I I O O O B I
The existing UNK models however are not well suited for exploiting these UNK UNK,O O B I O O O O O O O O B I,O O B I O O O O O O O O B I
We propose a log linear model with latent variables that incorporates UNK similarity features,O O O B I I O B I O O B I I,O O O B I I O B I O O B I I
UNK UNK training is computationally expensive for the proposed log linear model,B I I O B I O O O B I I,B I I O O O O O O B I I
To address this challenge we perform approximate inference via Markov UNK UNK UNK UNK and UNK divergence,O O O O O O B I O B I I I I O B I,O O O O O O B I O B I I I I O B I
Our results show that the proposed log linear model with UNK divergence outperforms the existing generative UNK models by exploiting the UNK features,O O O O O O B I I O B I O O O B I I O O O B I,O O O O O O O B I O B I O O O B I I O O O B I
The model both UNK to large UNK and UNK accuracy in UNK and no resource contexts,O O O O O O O O O B O B I I I I,O O O O O O O O O O O O O O O O
We present algorithms for extracting UNK UNK Grammar UNK rules from a graph along with a vertex order,O O O O O B I I I O O O B O O O B I,O O B O O B I I I I O O B O O O B I
Our algorithms are based on finding a tree decomposition of smallest UNK relative to the vertex order and then extracting one rule for each node in this structure,O O O O O O O O O O O O O O O B I O O O O O O O B O O O,O B O O O O O B I O O O O O O B I O O O O O O O B O O O
The assumption of a fixed order for the vertices of the input graph UNK it possible to solve the problem in polynomial time in contrast to the fact that the problem of finding optimal tree UNK for a graph is NP hard,O O O O B I O O B O O O O O O O O O O O O B I O O O O O O O O O O B I I O O O O B I,O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O B O B I
We also present polynomial time algorithms for parsing based on our UNK where the input is a vertex sequence and the output is a graph structure,O O O B I I O O O O O B O O O O O B I O O O O O B I,O O O O O B O B O O O O O O O O O B I O O O O O B I
The intended application of our algorithms is grammar extraction and parsing for semantic representation of natural language,O O O O O O O O O O O O B I O B I,O O O O O B O B I O B O B I O B I
We apply our algorithms to data annotated with UNK Meaning Representations and report on the characteristics of the resulting grammars,O O O O O O I O B I I O O O O O O O O B,O O O B O B I O B I I O O O O O O O O B
Weighted UNK systems provide a framework for describing parsing algorithms that can be used with a variety of operations for combining the values of UNK derivations,B I I O O B O O B I O O O O O O O O B O O O O O B I,B I I O O O O O B I O O O O O O O O O O O O O O B I
For some operations UNK values can be computed efficiently but outside values can not,O O B B I O O O O O B I O O,O O O O O O O O O O O O O O
We view out side values as functions from UNK values to the total UNK of all derivations and we analyze outside computation in terms of function composition,O O B I I O O O B I O O B I O O B O O O B I O O O B I,O B O O O O B O O O O O O O O O B O O O O O O O O B I
This UNK UNK explain UNK efficient outside computation is possible in many settings UNK the lack of a general outside algorithm for UNK operations,O O O O O B I I O O O O O O O O O O O B I O B I,O O O O O O O O O O O O O O O O O O O O B O B I
In this work we present a phenomenon oriented comparative analysis of the two UNK approaches in English UNK Semantic UNK parsing UNK knowledge UNK and neural data UNK models,O O O O O O O B I I O O O O O O B I I B B O B I O B B I I,O O O O O O O O O O O O O B I O O B I I I I I I O B I I I
To reflect state of the art neural NLP UNK a UNK based parser is introduced that can produce Elementary Dependency UNK much more accurately than previous data driven parsers,O O B I I I B I I O B I B O O O O O O I I O O O O O B I I,O O B O O O B I I O B I I O O O O O B I I O O O O O O O B
We conduct a UNK of tests for different linguistic phenomena to analyze the grammatical competence of different parsers where we show that UNK comparable performance overall UNK and data UNK models produce different types of errors in a way that can be UNK by their theoretical properties,O O O O O O O O O O O O O B O O O B O O O O O O O O O O B I I O O O O O O O O O O O O O O O O,O O O O O O O O B I O O O B O O O B O O O O B O B O O O B I I O O O O O O O O O O O O O O O O
This analysis is beneficial to in depth evaluation of several representative parsing techniques and leads to new directions for parser development,O O O O O O O O O O O B I O O O O O O B O,O O O O O O O O O O O O O O O O O O O B O
