id,token
0,Frame
0,semantics
0,is
0,a
0,linguistic
0,theory
0,that
0,has
0,been
0,instantiated
0,for
0,English
0,in
0,the
0,FrameNet
0,lexicon
0,.
0,We
0,solve
0,the
0,problem
0,of
0,frame
0,-
0,semantic
0,parsing
0,using
0,a
0,two
0,-
0,stage
0,statistical
0,model
0,that
0,takes
0,lexical
0,targets
0,(
0,i.e.
0,","
0,content
0,words
0,and
0,phrases
0,)
0,in
0,their
0,sentential
0,contexts
0,and
0,predicts
0,frame
0,-
0,semantic
0,structures
0,.
0,Given
0,a
0,target
0,in
0,context
0,","
0,the
0,first
0,stage
0,disambiguates
0,it
0,to
0,a
0,semantic
0,frame
0,.
0,This
0,model
0,uses
0,latent
0,variables
0,and
0,semi
0,-
0,supervised
0,learning
0,to
0,improve
0,frame
0,disambiguation
0,for
0,targets
0,unseen
0,at
0,training
0,time
0,.
0,The
0,second
0,stage
0,finds
0,the
0,target
0,'s
0,locally
0,expressed
0,semantic
0,arguments
0,.
0,At
0,inference
0,time
0,","
0,a
0,fast
0,exact
0,dual
0,decomposition
0,algorithm
0,collectively
0,predicts
0,all
0,the
0,arguments
0,of
0,a
0,frame
0,at
0,once
0,in
0,order
0,to
0,respect
0,declaratively
0,stated
0,linguistic
0,constraints
0,","
0,resulting
0,in
0,qualitatively
0,better
0,structures
0,than
0,naïve
0,local
0,predictors
0,.
0,Both
0,components
0,are
0,feature
0,-
0,based
0,and
0,discriminatively
0,trained
0,on
0,a
0,small
0,set
0,of
0,annotated
0,frame
0,-
0,semantic
0,parses
0,.
0,On
0,the
0,SemEval
0,2007
0,benchmark
0,data
0,set
0,","
0,the
0,approach
0,","
0,along
0,with
0,a
0,heuristic
0,identifier
0,of
0,frame
0,-
0,evoking
0,targets
0,","
0,outperforms
0,the
0,prior
0,state
0,of
0,the
0,art
0,by
0,significant
0,margins
0,.
0,Additionally
0,","
0,we
0,present
0,experiments
0,on
0,the
0,much
0,larger
0,FrameNet
0,1.5
0,data
0,set
0,.
0,We
0,have
0,released
0,our
0,frame
0,-
0,semantic
0,parser
0,as
0,open
0,-
0,source
0,software
0,.
1,Word
1,Sense
1,Disambiguation
1,(
1,WSD
1,)
1,systems
1,automatically
1,choose
1,the
1,intended
1,meaning
1,of
1,a
1,word
1,in
1,context
1,.
1,In
1,this
1,article
1,we
1,present
1,a
1,WSD
1,algorithm
1,based
1,on
1,random
1,walks
1,over
1,large
1,Lexical
1,Knowledge
1,Bases
1,(
1,LKB
1,)
1,.
1,We
1,show
1,that
1,our
1,algorithm
1,performs
1,better
1,than
1,other
1,graph
1,-
1,based
1,methods
1,when
1,run
1,on
1,a
1,graph
1,built
1,from
1,WordNet
1,and
1,eXtended
1,WordNet
1,.
1,Our
1,algorithm
1,and
1,LKB
1,combination
1,compares
1,favorably
1,to
1,other
1,knowledge
1,-
1,based
1,approaches
1,in
1,the
1,literature
1,that
1,use
1,similar
1,knowledge
1,on
1,a
1,variety
1,of
1,English
1,data
1,sets
1,and
1,a
1,data
1,set
1,on
1,Spanish
1,.
1,We
1,include
1,a
1,detailed
1,analysis
1,of
1,the
1,factors
1,that
1,affect
1,the
1,algorithm
1,.
1,The
1,algorithm
1,and
1,the
1,LKBs
1,used
1,are
1,publicly
1,available
1,","
1,and
1,the
1,results
1,easily
1,reproducible
1,.
2,Finding
2,the
2,right
2,representations
2,for
2,words
2,is
2,critical
2,for
2,building
2,accurate
2,NLP
2,systems
2,when
2,domain
2,-
2,specific
2,labeled
2,data
2,for
2,the
2,task
2,is
2,scarce
2,.
2,This
2,article
2,investigates
2,novel
2,techniques
2,for
2,extracting
2,features
2,from
2,n
2,-
2,gram
2,models
2,","
2,Hidden
2,Markov
2,Models
2,","
2,and
2,other
2,statistical
2,language
2,models
2,","
2,including
2,a
2,novel
2,Partial
2,Lattice
2,Markov
2,Random
2,Field
2,model
2,.
2,Experiments
2,on
2,part
2,-
2,of
2,-
2,speech
2,tagging
2,and
2,information
2,extraction
2,","
2,among
2,other
2,tasks
2,","
2,indicate
2,that
2,features
2,taken
2,from
2,statistical
2,language
2,models
2,","
2,in
2,combination
2,with
2,more
2,traditional
2,features
2,","
2,outperform
2,traditional
2,representations
2,alone
2,","
2,and
2,that
2,graphical
2,model
2,representations
2,outperform
2,n
2,-
2,gram
2,models
2,","
2,especially
2,on
2,sparse
2,and
2,polysemous
2,words
2,.
3,What
3,is
3,here
3,called
3,controlled
3,natural
3,language
3,(
3,CNL
3,)
3,has
3,traditionally
3,been
3,given
3,many
3,different
3,names
3,.
3,Especially
3,during
3,the
3,last
3,four
3,decades
3,","
3,a
3,wide
3,variety
3,of
3,such
3,languages
3,have
3,been
3,designed
3,.
3,They
3,are
3,applied
3,to
3,improve
3,communication
3,among
3,humans
3,","
3,to
3,improve
3,translation
3,","
3,or
3,to
3,provide
3,natural
3,and
3,intuitive
3,representations
3,for
3,formal
3,notations
3,.
3,Despite
3,the
3,apparent
3,differences
3,","
3,it
3,seems
3,sensible
3,to
3,put
3,all
3,these
3,languages
3,under
3,the
3,same
3,umbrella
3,.
3,To
3,bring
3,order
3,to
3,the
3,variety
3,of
3,languages
3,","
3,a
3,general
3,classification
3,scheme
3,is
3,presented
3,here
3,.
3,A
3,comprehensive
3,survey
3,of
3,existing
3,English
3,-
3,based
3,CNLs
3,is
3,given
3,","
3,listing
3,and
3,describing
3,100
3,languages
3,from
3,1930
3,until
3,today
3,.
3,Classification
3,of
3,these
3,languages
3,reveals
3,that
3,they
3,form
3,a
3,single
3,scattered
3,cloud
3,filling
3,the
3,conceptual
3,space
3,between
3,natural
3,languages
3,such
3,as
3,English
3,on
3,the
3,one
3,end
3,and
3,formal
3,languages
3,such
3,as
3,propositional
3,logic
3,on
3,the
3,other
3,.
3,The
3,goal
3,of
3,this
3,article
3,is
3,to
3,provide
3,a
3,common
3,terminology
3,and
3,a
3,common
3,model
3,for
3,CNL
3,","
3,to
3,contribute
3,to
3,the
3,understanding
3,of
3,their
3,general
3,nature
3,","
3,to
3,provide
3,a
3,starting
3,point
3,for
3,researchers
3,interested
3,in
3,the
3,area
3,","
3,and
3,to
3,help
3,developers
3,to
3,make
3,design
3,decisions
3,.
4,The
4,written
4,form
4,of
4,the
4,Arabic
4,language
4,","
4,Modern
4,Standard
4,Arabic
4,(
4,MSA
4,)
4,","
4,differs
4,in
4,a
4,non
4,-
4,trivial
4,manner
4,from
4,the
4,various
4,spoken
4,regional
4,dialects
4,of
4,Arabic
4,—
4,the
4,true
4,“
4,native
4,languages
4,”
4,of
4,Arabic
4,speakers
4,.
4,Those
4,dialects
4,","
4,in
4,turn
4,","
4,differ
4,quite
4,a
4,bit
4,from
4,each
4,other
4,.
4,However
4,","
4,due
4,to
4,MSA
4,'s
4,prevalence
4,in
4,written
4,form
4,","
4,almost
4,all
4,Arabic
4,data
4,sets
4,have
4,predominantly
4,MSA
4,content
4,.
4,In
4,this
4,article
4,","
4,we
4,describe
4,the
4,creation
4,of
4,a
4,novel
4,Arabic
4,resource
4,with
4,dialect
4,annotations
4,.
4,We
4,have
4,created
4,a
4,large
4,monolingual
4,data
4,set
4,rich
4,in
4,dialectal
4,Arabic
4,content
4,called
4,the
4,Arabic
4,On
4,-
4,line
4,Commentary
4,Data
4,set
4,(
4,Zaidan
4,and
4,Callison
4,-
4,Burch
4,2011
4,)
4,.
4,We
4,describe
4,our
4,annotation
4,effort
4,to
4,identify
4,the
4,dialect
4,level
4,(
4,and
4,dialect
4,itself
4,)
4,in
4,each
4,of
4,more
4,than
4,"100,000"
4,sentences
4,from
4,the
4,data
4,set
4,by
4,crowdsourcing
4,the
4,annotation
4,task
4,","
4,and
4,delve
4,into
4,interesting
4,annotator
4,behaviors
4,(
4,like
4,over
4,-
4,identification
4,of
4,one
4,'s
4,own
4,dialect
4,)
4,.
4,Using
4,this
4,new
4,annotated
4,data
4,set
4,","
4,we
4,consider
4,the
4,task
4,of
4,Arabic
4,dialect
4,identification
4,:
4,Given
4,the
4,word
4,sequence
4,forming
4,an
4,Arabic
4,sentence
4,","
4,determine
4,the
4,variety
4,of
4,Arabic
4,in
4,which
4,it
4,is
4,written
4,.
4,We
4,use
4,the
4,data
4,to
4,train
4,and
4,evaluate
4,automatic
4,classifiers
4,for
4,dialect
4,identification
4,","
4,and
4,establish
4,that
4,classifiers
4,using
4,dialectal
4,data
4,significantly
4,and
4,dramatically
4,outperform
4,baselines
4,that
4,use
4,MSA
4,-
4,only
4,data
4,","
4,achieving
4,near
4,-
4,human
4,classification
4,accuracy
4,.
4,Finally
4,","
4,we
4,apply
4,our
4,classifiers
4,to
4,discover
4,dialectical
4,data
4,from
4,a
4,large
4,Web
4,crawl
4,consisting
4,of
4,3.5
4,million
4,pages
4,mined
4,from
4,on
4,-
4,line
4,Arabic
4,newspapers
4,.
5,Authorship
5,attribution
5,deals
5,with
5,identifying
5,the
5,authors
5,of
5,anonymous
5,texts
5,.
5,Traditionally
5,","
5,research
5,in
5,this
5,field
5,has
5,focused
5,on
5,formal
5,texts
5,","
5,such
5,as
5,essays
5,and
5,novels
5,","
5,but
5,recently
5,more
5,attention
5,has
5,been
5,given
5,to
5,texts
5,generated
5,by
5,on
5,-
5,line
5,users
5,","
5,such
5,as
5,e
5,-
5,mails
5,and
5,blogs
5,.
5,Authorship
5,attribution
5,of
5,such
5,on
5,-
5,line
5,texts
5,is
5,a
5,more
5,challenging
5,task
5,than
5,traditional
5,authorship
5,attribution
5,","
5,because
5,such
5,texts
5,tend
5,to
5,be
5,short
5,","
5,and
5,the
5,number
5,of
5,candidate
5,authors
5,is
5,often
5,larger
5,than
5,in
5,traditional
5,settings
5,.
5,We
5,address
5,this
5,challenge
5,by
5,using
5,topic
5,models
5,to
5,obtain
5,author
5,representations
5,.
5,In
5,addition
5,to
5,exploring
5,novel
5,ways
5,of
5,applying
5,two
5,popular
5,topic
5,models
5,to
5,this
5,task
5,","
5,we
5,test
5,our
5,new
5,model
5,that
5,projects
5,authors
5,and
5,documents
5,to
5,two
5,disjoint
5,topic
5,spaces
5,.
5,Utilizing
5,our
5,model
5,in
5,authorship
5,attribution
5,yields
5,state
5,-
5,of
5,-
5,the
5,-
5,art
5,performance
5,on
5,several
5,data
5,sets
5,","
5,containing
5,either
5,formal
5,texts
5,written
5,by
5,a
5,few
5,authors
5,or
5,informal
5,texts
5,generated
5,by
5,tens
5,to
5,thousands
5,of
5,on
5,-
5,line
5,users
5,.
5,We
5,also
5,present
5,experimental
5,results
5,that
5,demonstrate
5,the
5,applicability
5,of
5,topical
5,author
5,representations
5,to
5,two
5,other
5,problems
5,:
5,inferring
5,the
5,sentiment
5,polarity
5,of
5,texts
5,","
5,and
5,predicting
5,the
5,ratings
5,that
5,users
5,would
5,give
5,to
5,items
5,such
5,as
5,movies
5,.
6,Recent
6,research
6,has
6,shown
6,clear
6,improvement
6,in
6,translation
6,quality
6,by
6,exploiting
6,linguistic
6,syntax
6,for
6,either
6,the
6,source
6,or
6,target
6,language
6,.
6,However
6,","
6,when
6,using
6,syntax
6,for
6,both
6,languages
6,(
6,“
6,tree
6,-
6,to
6,-
6,tree
6,”
6,translation
6,)
6,","
6,there
6,is
6,evidence
6,that
6,syntactic
6,divergence
6,can
6,hamper
6,the
6,extraction
6,of
6,useful
6,rules
6,(
6,Ding
6,and
6,Palmer
6,2005
6,)
6,.
6,Smith
6,and
6,Eisner
6,(
6,2006
6,)
6,introduced
6,quasi
6,-
6,synchronous
6,grammar
6,","
6,a
6,formalism
6,that
6,treats
6,non
6,-
6,isomorphic
6,structure
6,softly
6,using
6,features
6,rather
6,than
6,hard
6,constraints
6,.
6,Although
6,a
6,natural
6,fit
6,for
6,translation
6,modeling
6,","
6,its
6,flexibility
6,has
6,proved
6,challenging
6,for
6,building
6,real
6,-
6,world
6,systems
6,.
6,In
6,this
6,article
6,","
6,we
6,present
6,a
6,tree
6,-
6,to
6,-
6,tree
6,machine
6,translation
6,system
6,inspired
6,by
6,quasi
6,-
6,synchronous
6,grammar
6,.
6,The
6,core
6,of
6,our
6,approach
6,is
6,a
6,new
6,model
6,that
6,combines
6,phrases
6,and
6,dependency
6,syntax
6,","
6,integrating
6,the
6,advantages
6,of
6,phrase
6,-
6,based
6,and
6,syntax
6,-
6,based
6,translation
6,.
6,We
6,report
6,statistically
6,significant
6,improvements
6,over
6,a
6,phrase
6,-
6,based
6,baseline
6,on
6,five
6,of
6,seven
6,test
6,sets
6,across
6,four
6,language
6,pairs
6,.
6,We
6,also
6,present
6,encouraging
6,preliminary
6,results
6,on
6,the
6,use
6,of
6,unsupervised
6,dependency
6,parsing
6,for
6,syntax
6,-
6,based
6,machine
6,translation
6,.
7,We
7,propose
7,a
7,framework
7,for
7,using
7,multiple
7,sources
7,of
7,linguistic
7,information
7,in
7,the
7,task
7,of
7,identifying
7,multiword
7,expressions
7,in
7,natural
7,language
7,texts
7,.
7,We
7,define
7,various
7,linguistically
7,motivated
7,classification
7,features
7,and
7,introduce
7,novel
7,ways
7,for
7,computing
7,them
7,.
7,We
7,then
7,manually
7,define
7,interrelationships
7,among
7,the
7,features
7,","
7,and
7,express
7,them
7,in
7,a
7,Bayesian
7,network
7,.
7,The
7,result
7,is
7,a
7,powerful
7,classifier
7,that
7,can
7,identify
7,multiword
7,expressions
7,of
7,various
7,types
7,and
7,multiple
7,syntactic
7,constructions
7,in
7,text
7,corpora
7,.
7,Our
7,methodology
7,is
7,unsupervised
7,and
7,language
7,-
7,independent
7,;
7,it
7,requires
7,relatively
7,few
7,language
7,resources
7,and
7,is
7,thus
7,suitable
7,for
7,a
7,large
7,number
7,of
7,languages
7,.
7,We
7,report
7,results
7,on
7,English
7,","
7,French
7,","
7,and
7,Hebrew
7,","
7,and
7,demonstrate
7,a
7,significant
7,improvement
7,in
7,identification
7,accuracy
7,","
7,compared
7,with
7,less
7,sophisticated
7,baselines
7,.
8,As
8,more
8,and
8,more
8,Arabic
8,textual
8,information
8,becomes
8,available
8,through
8,the
8,Web
8,in
8,homes
8,and
8,businesses
8,","
8,via
8,Internet
8,and
8,Intranet
8,services
8,","
8,there
8,is
8,an
8,urgent
8,need
8,for
8,technologies
8,and
8,tools
8,to
8,process
8,the
8,relevant
8,information
8,.
8,Named
8,Entity
8,Recognition
8,(
8,NER
8,)
8,is
8,an
8,Information
8,Extraction
8,task
8,that
8,has
8,become
8,an
8,integral
8,part
8,of
8,many
8,other
8,Natural
8,Language
8,Processing
8,(
8,NLP
8,)
8,tasks
8,","
8,such
8,as
8,Machine
8,Translation
8,and
8,Information
8,Retrieval
8,.
8,Arabic
8,NER
8,has
8,begun
8,to
8,receive
8,attention
8,in
8,recent
8,years
8,.
8,The
8,characteristics
8,and
8,peculiarities
8,of
8,Arabic
8,","
8,a
8,member
8,of
8,the
8,Semitic
8,languages
8,family
8,","
8,make
8,dealing
8,with
8,NER
8,a
8,challenge
8,.
8,The
8,performance
8,of
8,an
8,Arabic
8,NER
8,component
8,affects
8,the
8,overall
8,performance
8,of
8,the
8,NLP
8,system
8,in
8,a
8,positive
8,manner
8,.
8,This
8,article
8,attempts
8,to
8,describe
8,and
8,detail
8,the
8,recent
8,increase
8,in
8,interest
8,and
8,progress
8,made
8,in
8,Arabic
8,NER
8,research
8,.
8,The
8,importance
8,of
8,the
8,NER
8,task
8,is
8,demonstrated
8,","
8,the
8,main
8,characteristics
8,of
8,the
8,Arabic
8,language
8,are
8,highlighted
8,","
8,and
8,the
8,aspects
8,of
8,standardization
8,in
8,annotating
8,named
8,entities
8,are
8,illustrated
8,.
8,Moreover
8,","
8,the
8,different
8,Arabic
8,linguistic
8,resources
8,are
8,presented
8,and
8,the
8,approaches
8,used
8,in
8,Arabic
8,NER
8,field
8,are
8,explained
8,.
8,The
8,features
8,of
8,common
8,tools
8,used
8,in
8,Arabic
8,NER
8,are
8,described
8,","
8,and
8,standard
8,evaluation
8,metrics
8,are
8,illustrated
8,.
8,In
8,addition
8,","
8,a
8,review
8,of
8,the
8,state
8,of
8,the
8,art
8,of
8,Arabic
8,NER
8,research
8,is
8,discussed
8,.
8,Finally
8,","
8,we
8,present
8,our
8,conclusions
8,.
8,Throughout
8,the
8,presentation
8,","
8,illustrative
8,examples
8,are
8,used
8,for
8,clarification
8,.
